recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaW
50,30,6.61,CALIFORNIA,-118.387,33.801,70.91255067664628,3.111553451263001,280.56,-1.5169893302652189
51,30,6.61,CALIFORNIA,-116.674,33.5556,188.0021281892384,2.111231375535763,360.45,2.212122362993313
52,30,6.61,CALIFORNIA,-119.021,35.37,117.31489332256248,-0.4930503855987424,241.41,-2.881086629088421
53,30,6.61,CALIFORNIA,-116.37,33.26,229.71849768146672,2.167012131186881,338.54,0.5209945985373721
54,30,6.61,CALIFORNIA,-119.35,35.16,117.38377394550947,-0.8177530659763764,385.69,-1.4673834881501562
55,30,6.61,CALIFORNIA,-117.838,33.9121,78.80293124413053,2.405656547514162,235.0,0.4160400162343222
56,30,6.61,CALIFORNIA,-118.642,34.564,25.36088595937404,-0.9963706193564796,450.28,1.236037929118193
57,30,6.61,CALIFORNIA,-117.3,34.31,103.10717420130896,1.7056441765014656,477.22,-0.2012145661173203
59,30,6.61,CALIFORNIA,-120.29,35.733,223.5294816856833,-0.8646850352978701,184.75,-0.8735151659710202
60,30,6.61,CALIFORNIA,-120.359,35.671,224.18763255346988,-0.9060949182740038,256.82,-0.4736761942026696
61,30,6.61,CALIFORNIA,-117.312,34.059,109.61513706823182,1.9612027351050585,301.95,0.1923102797713569
62,30,6.61,CALIFORNIA,-118.426,34.704,29.323026636303727,-0.0500107771511843,634.33,-0.024665159985538
63,30,6.61,CALIFORNIA,-118.9,34.87,65.52150604086201,-0.75292583376626,394.18,-1.35213921264375
64,30,6.61,CALIFORNIA,-118.72,34.808,49.746560822088696,-0.6067477447587026,308.35,0.5367494320829105
65,30,6.61,CALIFORNIA,-116.979,33.729,153.82481851532583,2.1020951575243414,328.09,1.802551679712304
66,30,6.61,CALIFORNIA,-118.474,35.644,133.70096492325507,-0.0433694791220133,591.0,-1.250315382134744
67,30,6.61,CALIFORNIA,-118.339,34.09,39.37130339856575,2.974387991853471,316.46,1.0157971620049624
